anchor,range_N,seed,acc_A,acc_B,acc_C,acc_D,A_minus_C,A_minus_D,A_minus_B
5,7,0,0.979,0.9425,0.9815,0.949,-0.0025000000000000577,0.030000000000000027,0.03649999999999998
5,7,1,0.979,0.942,0.9755,0.944,0.0034999999999999476,0.03500000000000003,0.03700000000000003
5,7,2,0.9755,0.9435,0.9815,0.9475,-0.006000000000000005,0.028000000000000025,0.03200000000000003
5,7,3,0.978,0.9355,0.9805,0.9495,-0.0025000000000000577,0.02849999999999997,0.04249999999999998
5,7,4,0.9735,0.939,0.981,0.9415,-0.007499999999999951,0.03200000000000003,0.034500000000000086
5,10,0,0.9715,0.9425,0.9815,0.949,-0.010000000000000009,0.022500000000000075,0.029000000000000026
5,10,1,0.9735,0.942,0.9755,0.944,-0.0020000000000000018,0.02950000000000008,0.031500000000000083
5,10,2,0.969,0.9435,0.9815,0.9475,-0.012500000000000067,0.021499999999999964,0.025499999999999967
5,10,3,0.971,0.9355,0.9805,0.9495,-0.009500000000000064,0.021499999999999964,0.035499999999999976
5,10,4,0.973,0.939,0.981,0.9415,-0.008000000000000007,0.03149999999999997,0.03400000000000003
5,12,0,0.964,0.9425,0.9815,0.949,-0.01750000000000007,0.015000000000000013,0.021499999999999964
5,12,1,0.963,0.942,0.9755,0.944,-0.012500000000000067,0.019000000000000017,0.02100000000000002
5,12,2,0.9605,0.9435,0.9815,0.9475,-0.02100000000000002,0.013000000000000012,0.017000000000000015
5,12,3,0.9735,0.9355,0.9805,0.9495,-0.007000000000000006,0.02400000000000002,0.038000000000000034
5,12,4,0.974,0.939,0.981,0.9415,-0.007000000000000006,0.03249999999999997,0.03500000000000003
9,10,0,0.7942,0.7348,0.8402,0.7624,-0.04599999999999993,0.03180000000000005,0.05940000000000001
9,10,1,0.7732,0.7558,0.827,0.7508,-0.05379999999999996,0.022399999999999975,0.01739999999999997
9,10,2,0.7814,0.7408,0.8386,0.7428,-0.05720000000000003,0.03859999999999997,0.04059999999999997
9,10,3,0.792,0.7464,0.8354,0.7628,-0.043399999999999994,0.029200000000000004,0.045600000000000085
9,10,4,0.7916,0.7476,0.8414,0.7738,-0.049800000000000066,0.017799999999999927,0.04399999999999993
9,12,0,0.8102,0.7348,0.8402,0.7624,-0.029999999999999916,0.047800000000000065,0.07540000000000002
9,12,1,0.8038,0.7558,0.827,0.7508,-0.0232,0.052999999999999936,0.04799999999999993
9,12,2,0.8002,0.7408,0.8386,0.7428,-0.03839999999999999,0.05740000000000001,0.05940000000000001
9,12,3,0.817,0.7464,0.8354,0.7628,-0.018400000000000083,0.054199999999999915,0.0706
9,12,4,0.8072,0.7476,0.8414,0.7738,-0.03420000000000001,0.033399999999999985,0.059599999999999986
11,12,0,0.6636,0.6458,0.7566,0.6118,-0.09300000000000008,0.05179999999999996,0.017799999999999927
11,12,1,0.65,0.6506,0.7484,0.628,-0.09839999999999993,0.02200000000000002,-0.0005999999999999339
11,12,2,0.6416,0.646,0.7522,0.6232,-0.11060000000000003,0.018399999999999972,-0.0044000000000000705
11,12,3,0.6634,0.6318,0.7562,0.6344,-0.0928,0.029000000000000026,0.03159999999999996
11,12,4,0.6768,0.6454,0.7536,0.64,-0.07680000000000009,0.036799999999999944,0.031399999999999983
